timestamp,round,loss,acc,macro_f1
1768704484,1,0.31745007932186126,0.8705,0.7825900875725551
1768704491,2,0.6449770748615264,0.744,0.6553251555894104
1768704498,3,0.2396197233349085,0.9171,0.8652431638420885
1768704504,4,0.2188834637403488,0.924,0.8602881977637217
1768704510,5,0.21906938590109348,0.9242,0.8603255478621846
1768704517,6,0.21928560361266136,0.9249,0.8742164881134259
1768704524,7,0.2193364579230547,0.9263,0.8642020492458967
1768704530,8,0.22437887098640202,0.9251,0.8801108907865722
1768704537,9,0.23509009927511215,0.9221,0.8690697640703177
1768704543,10,0.21990921571850777,0.9264,0.8608562050454177
1768704550,11,0.22975450269877912,0.9242,0.875049930692944
1768704557,12,0.24327077344059944,0.9221,0.8717222524608276
1768704563,13,0.25627549961209295,0.92,0.8741470997756241
1768704569,14,0.2431497283279896,0.9217,0.8604900437329019
1768704576,15,0.2369615688920021,0.9228,0.8497911349746695
1768704583,16,0.2525724653154612,0.922,0.8598429554121051
1768704589,17,0.25079860612750055,0.9225,0.8508350259604135
1768704596,18,0.26452848967164755,0.9216,0.8476519987427289
1768704602,19,0.26267744060605763,0.9215,0.8458251988924731
1768704609,20,0.27323639020323753,0.922,0.857724699758682
1768704615,21,0.27800292856991293,0.9219,0.851482341596872
1768704622,22,0.3073226395994425,0.9204,0.8514887237979311
1768704628,23,0.2981817092746496,0.9205,0.8492743391505441
1768704635,24,0.3040645349770784,0.922,0.851435730614372
1768704641,25,0.33468381874263287,0.9188,0.8619455634634645
1768704648,26,0.3169835027307272,0.9201,0.8525276140232004
1768704654,27,0.30901906862854955,0.9223,0.8487548297316052
1768704661,28,0.3214324161410332,0.9196,0.8514510595242627
1768704667,29,0.3184979882091284,0.9199,0.8473397459841211
1768704674,30,0.32884126976132394,0.9217,0.8512867872480637
1768704680,31,0.35260237716138365,0.9204,0.8615650028333903
1768704687,32,0.3288488872349262,0.9189,0.8434376205631439
1768704693,33,0.35731394924223425,0.9204,0.8644312341062313
1768704700,34,0.349936755001545,0.922,0.8672388514079128
1768704707,35,0.34072458297014235,0.9205,0.8420702001838385
1768704713,36,0.3489820923656225,0.921,0.8464422288490723
1768704720,37,0.3513374414294958,0.9228,0.8529721287467975
1768704726,38,0.3650576647371054,0.9192,0.847713963074127
1768704733,39,0.34537137001752855,0.9213,0.847578440599304
1768704739,40,0.3480564869940281,0.9197,0.8439467788048142
1768704746,41,0.3662340763956308,0.9184,0.8611522057723529
1768704753,42,0.36470762770622966,0.9196,0.842565722478169
1768704759,43,0.3633905973285437,0.9213,0.853771758581472
1768704766,44,0.3870023414492607,0.9197,0.8590713970951157
1768704773,45,0.3940428774803877,0.9202,0.848895383286627
1768704779,46,0.3793352050706744,0.9205,0.8478185076830974
1768704786,47,0.3993633434176445,0.9195,0.8636212454259621
1768704792,48,0.37143899612128733,0.9221,0.8529224044918412
1768704799,49,0.36425251327455044,0.9217,0.8510172943799078
1768704805,50,0.3971255153417587,0.9186,0.8499422878296031
